Close Time,Open,High,Low,Close,Volume
2024-01-01 07:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 08:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 09:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 10:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 11:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 12:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 13:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 14:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 15:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 16:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 17:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 18:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 19:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 20:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 21:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 22:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-01 23:00:00-10:00,1.10374,1.10374,1.10374,1.10374,0.0
2024-01-02 00:00:00-10:00,1.08575,1.08865,1.08522,1.08799,37243.27
2024-01-02 01:00:00-10:00,1.088,1.08874,1.0854,1.08613,38532.17
2024-01-02 02:00:00-10:00,1.08611,1.08678,1.08448,1.08544,26991.9
2024-01-02 03:00:00-10:00,1.08543,1.08544,1.08418,1.08495,15831.28
2024-01-02 04:00:00-10:00,1.08493,1.08524,1.08437,1.08458,13683.46
2024-01-02 05:00:00-10:00,1.08454,1.08642,1.08157,1.08403,69191.8902
2024-01-02 06:00:00-10:00,1.08402,1.08417,1.07949,1.08077,47513.5199
2024-01-02 07:00:00-10:00,1.08077,1.08194,1.08054,1.0818,6829.81
2024-01-02 08:00:00-10:00,1.0818,1.08203,1.08084,1.08137,2451.89
2024-01-02 09:00:00-10:00,1.08136,1.08169,1.0803,1.08039,3628.31
2024-01-02 10:00:00-10:00,1.08039,1.08144,1.08016,1.08081,10588.67
2024-01-02 11:00:00-10:00,1.08082,1.08124,1.08045,1.08089,11033.93
2024-01-02 12:00:00-10:00,1.08088,1.08217,1.08084,1.08192,8310.67
2024-01-02 13:00:00-10:00,1.08191,1.08207,1.08109,1.08116,5518.6
2024-01-02 14:00:00-10:00,1.08117,1.08135,1.08052,1.08076,5289.49
2024-01-02 15:00:00-10:00,1.08076,1.08076,1.08026,1.08027,7563.08
2024-01-02 16:00:00-10:00,1.08026,1.0805,1.07938,1.0796,8475.48
2024-01-02 17:00:00-10:00,1.07958,1.07972,1.07838,1.07932,16578.93
2024-01-02 18:00:00-10:00,1.07932,1.07939,1.07799,1.07916,25449.49
2024-01-02 19:00:00-10:00,1.07916,1.08016,1.07866,1.07983,19386.35
2024-01-02 20:00:00-10:00,1.07989,1.08027,1.07914,1.07931,15613.46
2024-01-02 21:00:00-10:00,1.07931,1.08132,1.07926,1.08083,13616.58
2024-01-02 22:00:00-10:00,1.08084,1.08199,1.08056,1.08151,23418.6899
2024-01-02 23:00:00-10:00,1.0815,1.08272,1.08087,1.08138,35068.0999
2024-01-03 00:00:00-10:00,1.08376,1.08503,1.08363,1.08466,21038.93
2024-01-03 01:00:00-10:00,1.08469,1.08558,1.0819,1.08224,21985.34
2024-01-03 02:00:00-10:00,1.08223,1.0825,1.08044,1.08062,15965.53
2024-01-03 03:00:00-10:00,1.08062,1.08073,1.07958,1.07998,10854.42
2024-01-03 04:00:00-10:00,1.07999,1.08102,1.07983,1.08091,7718.2
2024-01-03 05:00:00-10:00,1.08092,1.08112,1.08009,1.08025,12128.21
2024-01-03 06:00:00-10:00,1.08025,1.08095,1.08025,1.08083,10873.51
2024-01-03 07:00:00-10:00,1.08083,1.08086,1.08039,1.08046,4655.17
2024-01-03 08:00:00-10:00,1.08046,1.08057,1.07998,1.08047,11190.05
2024-01-03 09:00:00-10:00,1.08053,1.08056,1.08023,1.08055,1106.99
2024-01-03 10:00:00-10:00,1.08055,1.08124,1.08052,1.08113,4613.53
2024-01-03 11:00:00-10:00,1.08114,1.08212,1.08109,1.08212,4242.36
2024-01-03 12:00:00-10:00,1.08214,1.08218,1.08166,1.08183,5401.71
2024-01-03 13:00:00-10:00,1.08184,1.08211,1.08165,1.08168,2426.85
2024-01-03 14:00:00-10:00,1.08169,1.0817,1.08122,1.08135,1585.08
2024-01-03 15:00:00-10:00,1.08135,1.08141,1.08111,1.08122,2842.51
2024-01-03 16:00:00-10:00,1.0812,1.08139,1.08082,1.08091,3113.81
2024-01-03 17:00:00-10:00,1.0809,1.08174,1.08087,1.08125,5620.29
2024-01-03 18:00:00-10:00,1.08127,1.08199,1.0809,1.08112,13385.81
2024-01-03 19:00:00-10:00,1.08111,1.08176,1.08086,1.08153,8489.49
2024-01-03 20:00:00-10:00,1.08156,1.08227,1.07984,1.08104,16511.95
2024-01-03 21:00:00-10:00,1.08105,1.08191,1.08102,1.08187,10719.71
2024-01-03 22:00:00-10:00,1.08187,1.08247,1.08119,1.08129,12278.43
2024-01-03 23:00:00-10:00,1.08128,1.08153,1.08078,1.08127,13035.98
2024-01-04 06:00:00-10:00,1.07898,1.07898,1.07898,1.07898,0.0
2024-01-04 07:00:00-10:00,1.07882,1.07935,1.07848,1.07926,2412.6575
2024-01-04 08:00:00-10:00,1.07926,1.07965,1.07855,1.07865,3237.085
2024-01-04 09:00:00-10:00,1.07865,1.07945,1.07854,1.0793,2755.33
2024-01-04 10:00:00-10:00,1.07932,1.07987,1.07901,1.07912,4469.71
2024-01-04 11:00:00-10:00,1.07911,1.07945,1.07856,1.07867,3012.78
2024-01-04 12:00:00-10:00,1.07866,1.07895,1.07848,1.07877,3293.95
2024-01-04 13:00:00-10:00,1.07878,1.07913,1.07847,1.07903,1781.33
2024-01-04 14:00:00-10:00,1.07902,1.07911,1.07841,1.07867,2709.76
2024-01-04 15:00:00-10:00,1.07866,1.07872,1.07827,1.07853,1669.45
2024-01-04 16:00:00-10:00,1.0785,1.07904,1.07844,1.07865,3049.74
2024-01-04 17:00:00-10:00,1.07865,1.07921,1.07829,1.07859,4091.83
2024-01-04 18:00:00-10:00,1.07859,1.07915,1.07831,1.07897,5106.45
2024-01-04 19:00:00-10:00,1.07897,1.07908,1.07856,1.0786,4419.26
2024-01-04 20:00:00-10:00,1.0786,1.07866,1.07796,1.07813,3703.37
2024-01-04 21:00:00-10:00,1.07813,1.07875,1.07798,1.07839,3997.08
2024-01-04 22:00:00-10:00,1.0784,1.07857,1.07771,1.07817,7555.19
